"Male","Female","score","url"
"2006","1971","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1971.html"
"2006","1970","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1970.html"
"2006","1969","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1969.html"
"2006","1968","9","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1968.html"
"2006","1967","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1967.html"
"2006","1966","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1966.html"
"2006","1965","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1965.html"
"2006","1964","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1964.html"
"2006","1963","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1963.html"
"2006","1962","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1962.html"
"2006","1961","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1961.html"
"2006","1960","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1960.html"
"2006","1959","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1959.html"
"2006","1958","7","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1958.html"
"2006","1957","3","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1957.html"
"2006","1956","5","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1956.html"
"2006","1955","4","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1955.html"
"2006","1954","6","https://phongthuyso.vn/xem-tuoi-hop-nhau/tuoi-2006-hop-tuoi-1954.html"
