ID,Số con gái,Số con trai,Tổng,Sống cùng,Không sống cùng
67736,0,0,0,0,0
3857,0,0,0,0,0
64073,0,0,0,0,0
102063,0,0,0,0,0
124340,0,0,0,0,0
93805,1,0,1,1,0
98768,0,0,0,0,0
83291,0,0,0,0,0
67201,0,0,0,0,0
8924,0,0,0,0,0
8139,0,0,0,0,0
119681,0,0,0,0,0
93281,0,0,0,0,0
98773,0,0,0,0,0
113038,0,0,2,0,0
103094,0,0,0,0,0
103567,0,0,0,0,0
130276,0,0,0,0,0
124027,0,0,0,0,0
128440,0,0,1,1,0
99037,0,0,0,0,0
114468,0,0,0,0,0
66784,1,1,2,2,0
115862,0,0,1,0,1
4822,0,0,0,0,0
9401,0,0,0,0,0
5435,0,0,0,0,0
67494,0,0,0,0,0
119958,0,0,0,0,0
703,0,1,1,1,0
102984,0,0,0,0,0
98729,0,0,0,0,0
65948,0,0,0,0,0
4700,0,0,0,0,0
2278,0,0,0,0,0
2442,0,0,0,0,0
102310,0,0,0,0,0
65981,0,0,0,0,0
130095,0,0,0,0,0
99963,0,0,0,0,0
8976,0,0,0,0,0
75729,0,0,0,0,0
129944,0,0,2,2,0
66256,0,0,0,0,0
104866,0,0,0,0,0
122345,0,0,0,0,0
104715,0,0,1,0,1
54234,0,0,0,0,0
128289,0,0,0,0,0
99664,0,0,0,0,0
54279,0,0,0,0,0
98266,0,0,1,0,0
123100,0,0,1,1,0
121605,0,0,1,0,1
3997,0,0,0,0,0
102328,0,0,0,0,0
125825,0,0,2,2,0
8806,0,0,0,0,0
111339,0,0,0,0,0
109060,0,0,1,0,1
98608,0,2,2,0,2
126331,0,0,0,0,0
3916,0,0,0,0,0
4691,0,0,0,0,0
66651,0,0,0,0,0
46212,0,0,1,1,0
7780,0,0,0,0,0
66118,0,0,0,0,0
121429,0,0,0,0,0
121495,0,2,2,1,1
51536,0,0,0,0,0
7463,0,0,0,0,0
103349,0,0,1,0,1
55363,0,0,1,1,0
74620,1,0,1,1,0
110795,0,0,0,0,0
99727,0,0,0,0,0
111599,0,0,1,0,1
101306,0,0,0,0,0
65977,0,0,0,0,0
9087,0,0,0,0,0
53345,0,0,0,0,0
120594,0,0,0,0,0
64698,0,0,0,0,0
53986,0,0,0,0,0
9526,2,0,2,0,0
47477,0,0,1,0,0
3544,0,0,0,0,0
121611,2,0,2,2,0
9085,1,0,1,1,0
103797,0,0,0,0,0
121073,1,1,2,0,0
124777,0,0,0,0,0
112538,0,2,2,1,1
134535,0,0,2,0,2
82081,0,0,0,0,0
111808,0,0,0,0,0
66614,0,0,0,0,0
48356,0,0,0,0,0
102375,0,0,0,0,0
129628,0,2,2,2,0
107376,0,0,0,0,0
9328,0,0,0,0,0
104316,0,0,0,0,0
106041,0,0,0,0,0
116993,1,1,2,2,0
66133,0,0,0,0,0
2540,0,0,0,0,0
101533,0,0,0,0,0
1062,0,0,0,0,0
127999,0,0,3,0,3
102406,0,2,2,2,0
128792,0,0,0,0,0
66640,0,0,0,0,0
106309,0,0,0,0,0
109529,0,0,0,0,0
62858,0,0,0,0,0
80608,0,0,0,0,0
8087,0,0,0,0,0
131763,0,0,0,0,0
131592,0,0,0,0,0
106485,0,0,0,0,0
109805,0,0,0,0,0
122198,0,0,0,0,0
4893,0,0,0,0,0
118628,1,1,2,0,2
126414,0,0,4,0,0
48460,2,0,2,0,2
131903,0,0,0,0,0
