ID,height
116964,165.0
128556,165.0
98775,174.0
75190,173.0
66055,165.0
122127,157.0
66857,153.0
1790,167.0
75193,162.0
77018,153.0
92959,176.0
8108,16.0
2549,16.5
2704,172.0
106209,162.0
25,170.0
50,163.0
9388,160.0
120471,170.0
129553,160.0
105074,163.0
122884,154.0
7083,168.0
106573,163.0
114765,156.0
67628,168.0
5217,158.0
99462,150.0
1685,150.0
8982,169.0
66464,155.0
125032,155.0
128057,150.0
98889,155.0
120082,170.0
126549,165.0
55496,170.0
8645,17.0
5360,15.5
66748,17.0
108235,
107280,165.0
66498,15.7
122092,160.0
102109,167.0
8324,158.0
102629,156.0
51347,165.0
103117,150.0
106835,167.0
124815,60.0
7455,175.0
3899,151.0
1206,
73280,172.0
67471,165.0
74557,165.0
55366,169.0
4278,17.5
75988,163.0
123954,160.0
64212,160.0
109215,162.0
103957,150.0
125652,165.0
9333,153.0
129076,165.0
66549,158.0
67198,162.0
57901,166.0
8913,
131094,159.0
129379,160.0
5574,155.0
108778,150.0
66854,15.9
120852,175.0
108406,160.0
53861,170.0
103695,174.0
126924,157.0
125393,167.0
126310,167.0
104097,165.0
8222,16.9
9165,174.0
103014,166.0
103625,170.0
796,170.0
113734,170.0
110040,173.0
121894,152.0
67721,147.0
75228,165.0
4703,165.0
103363,171.0
9745,166.0
67304,160.0
8254,158.0
110256,168.0
114908,171.0
131881,165.0
120878,156.0
123775,173.0
55389,175.0
81013,160.0
99046,171.0
92877,171.0
9449,174.0
52936,158.0
63577,168.0
103569,155.0
6005,158.0
128566,159.0
112738,165.0
100608,170.0
77404,165.0
55432,160.0
92053,163.0
67248,162.0
75670,163.0
7849,160.0
7522,16.8
124045,165.5
110876,160.0
9646,151.0
103808,155.0
128881,163.0
112467,158.0
122826,150.0
4379,168.0
127151,168.0
67396,160.0
103082,
7458,170.0
64140,170.0
130323,165.0
62401,169.0
104610,160.0
36631,163.0
1033,160.0
9502,152.0
101040,160.0
116927,165.0
98306,
103469,150.0
105837,160.0
121323,155.0
109710,170.0
941,155.0
5013,180.0
94056,175.0
102538,158.0
67351,170.0
99630,170.0
116556,165.0
104383,15.5
108526,158.0
119858,153.0
99735,155.0
126499,160.0
105266,167.0
110218,156.0
4279,152.0
9489,150.0
105816,164.0
111053,164.0
55380,17.2
67711,153.0
67741,168.0
110889,165.0
105005,172.0
129641,167.0
101766,
5582,160.0
31025,164.0
8119,170.0
67502,155.0
9780,165.0
130670,157.0
67115,169.0
123505,160.0
2943,170.0
109574,172.0
127160,160.0
124738,160.0
66601,163.0
99141,152.0
41605,157.0
5905,162.0
7403,158.0
128719,170.0
4982,15.4
54128,167.0
101262,171.0
4024,155.0
115341,150.0
9073,160.0
5677,155.0
129936,155.0
124725,157.0
113039,153.0
4315,180.0
127808,155.0
113849,168.0
98575,171.0
111858,170.0
115884,175.0
128816,15.5
7303,165.0
5021,
131676,155.0
131510,165.0
103809,170.0
92540,152.0
123699,170.0
99400,165.0
67116,170.0
107076,167.0
106582,150.0
103788,150.0
3697,152.0
6604,158.0
7414,158.0
67514,163.0
65995,158.0
112164,170.0
67369,178.0
102814,162.0
54267,163.0
111661,165.0
102709,174.0
104945,160.0
98949,158.0
1862,
67616,156.0
48180,169.0
67736,149.0
3857,170.0
64073,158.0
102063,160.0
124340,172.0
93805,
98768,163.0
83291,174.0
67201,163.0
8924,170.0
8139,152.0
119681,165.0
93281,163.0
98773,165.0
113038,163.0
103094,155.0
103567,167.0
130276,161.0
124027,164.0
128440,160.0
99037,158.0
114468,165.0
66784,160.0
115862,167.0
4822,155.0
9401,163.0
5435,150.0
67494,15.9
119958,167.0
703,164.0
102984,165.0
98729,163.0
65948,170.0
4700,150.0
2278,170.0
2442,155.0
102310,153.0
65981,150.0
130095,166.0
99963,150.0
8976,150.0
75729,168.0
129944,165.0
66256,
104866,165.0
122345,170.0
104715,170.0
54234,168.0
128289,16.4
99664,177.0
54279,164.0
98266,150.0
123100,160.0
121605,162.0
3997,170.0
102328,170.0
125825,167.0
8806,170.0
111339,152.0
109060,158.0
98608,165.0
126331,175.0
3916,152.0
4691,163.0
66651,165.0
46212,153.0
7780,168.0
66118,170.0
121429,160.0
121495,17.2
51536,15.7
7463,166.0
103349,162.0
55363,170.0
74620,170.0
110795,175.0
99727,
111599,175.0
101306,168.0
65977,166.0
9087,16.200000000000003
53345,155.0
120594,163.0
64698,162.0
53986,161.0
9526,15.3
47477,158.0
3544,152.0
121611,154.0
9085,155.0
103797,165.0
121073,157.0
124777,171.0
112538,16.5
134535,178.0
82081,16.7
111808,165.0
66614,166.0
48356,167.0
102375,169.0
129628,154.0
107376,175.0
9328,156.0
104316,150.0
106041,158.0
116993,180.0
66133,168.0
2540,170.0
101533,150.0
1062,162.0
127999,158.0
102406,163.0
128792,174.0
66640,155.0
106309,169.0
109529,16.5
62858,16.8
80608,165.0
8087,16.599999999999998
131763,170.0
131592,
106485,
109805,16.8
122198,160.0
4893,165.0
118628,170.0
126414,155.0
48460,173.0
131903,180.0
118826,165.0
109229,150.0
112017,157.0
129605,157.0
1560,158.0
65157,16.8
9064,160.0
119020,175.0
103369,
100747,
124560,160.0
129036,162.0
107760,171.0
67411,164.0
67367,174.0
107747,171.0
103324,170.0
128632,158.0
124873,169.0
67753,157.0
104392,159.0
128161,160.0
99464,156.0
9093,170.0
8508,17.2
92925,170.0
99268,166.0
131579,165.0
129092,165.0
54328,160.0
132933,150.0
82297,170.0
107711,150.0
114049,160.0
44788,160.0
4815,165.0
54181,164.0
107111,158.0
131385,170.0
98713,156.0
128932,15.3
102889,177.0
109214,165.0
117164,16.299999999999997
9005,162.0
102461,164.0
117690,170.0
67631,160.0
112435,163.0
124905,175.0
117941,162.0
106864,152.0
129615,169.0
124872,150.0
93487,155.0
107619,165.0
119303,158.0
49559,153.0
121364,160.0
111238,17.5
131664,150.0
76859,162.0
103814,165.0
3069,160.0
102927,156.0
5177,163.0
7096,166.0
117792,155.0
106560,154.0
67090,170.0
130461,165.0
13795,168.0
4336,163.0
125730,185.0
122128,155.0
129180,167.0
113617,170.0
113206,167.0
9296,150.0
67756,178.0
