id,education
67820,Đại học
98781,Trên đại học
121249,Dưới đại học
93563,Dưới đại học
5971,Dưới đại học
115948,Dưới đại học
110958,Đại học
66392,Dưới đại học
99800,Đại học
104853,Đại học
9218,Đại học
108604,Dưới đại học
9114,Đại học
107603,Đại học
59376,Đại học
99149,Đại học
105377,Đại học
105092,Dưới đại học
60049,Đại học
67120,Đại học
51016,Dưới đại học
49371,Đại học
54174,Đại học
99529,Dưới đại học
93691,Dưới đại học
8482,Đại học
26503,Trên đại học
132041,Du học
115545,Đại học
63183,Đại học
124101,Trên đại học
67215,Đại học
105033,Dưới đại học
3403,Trên đại học
116964,Đại học
128556,Trên đại học
98775,Đại học
75190,Đại học
66055,Đại học
122127,Dưới đại học
66857,Dưới đại học
1790,Đại học
75193,Dưới đại học
77018,Đại học
92959,Đại học
8108,Đại học
2549,Đại học
2704,
106209,Dưới đại học
25,Đại học
50,Đại học
9388,Trên đại học
120471,Trên đại học
129553,Dưới đại học
105074,Đại học
122884,Đại học
7083,Trên đại học
106573,Đại học
114765,Trên đại học
67628,Đại học
5217,Đại học
99462,Đại học
1685,Đại học
8982,Đại học
66464,Đại học
125032,Đại học
128057,Đại học
98889,Đại học
120082,Đại học
126549,Dưới đại học
55496,Đại học
8645,Đại học
5360,Đại học
66748,Trên đại học
108235,
107280,Đại học
66498,Đại học
122092,Đại học
102109,Đại học
8324,Đại học
102629,Đại học
51347,Đại học
103117,Đại học
106835,Đại học
124815,Đại học
7455,Đại học
3899,Đại học
1206,Đại học
73280,Đại học
67471,Đại học
74557,Đại học
55366,Dưới đại học
4278,Đại học
75988,Đại học
123954,Đại học
64212,Đại học
109215,Dưới đại học
103957,Đại học
125652,
9333,Đại học
129076,Đại học
66549,Đại học
67198,Trên đại học
57901,Đại học
8913,
131094,Dưới đại học
129379,Đại học
5574,Đại học
108778,Dưới đại học
66854,Đại học
120852,Đại học
108406,Đại học
53861,Đại học
103695,Đại học
126924,Đại học
125393,Đại học
126310,Dưới đại học
104097,Đại học
8222,
9165,Đại học
103014,Dưới đại học
103625,Đại học
796,Đại học
113734,Đại học
110040,Đại học
121894,Đại học
67721,Đại học
75228,Đại học
4703,Đại học
103363,Đại học
9745,Dưới đại học
67304,Đại học
8254,Đại học
110256,Dưới đại học
114908,Đại học
131881,
120878,Trên đại học
123775,Đại học
55389,Dưới đại học
81013,Đại học
99046,Đại học
92877,Đại học
9449,Đại học
52936,Dưới đại học
63577,Dưới đại học
103569,Đại học
6005,Trên đại học
128566,Đại học
112738,Đại học
100608,Đại học
77404,Dưới đại học
55432,Đại học
92053,Đại học
67248,Đại học
75670,Đại học
7849,Đại học
7522,
124045,Đại học
110876,Đại học
9646,Dưới đại học
103808,Trên đại học
128881,Đại học
112467,Dưới đại học
122826,Dưới đại học
4379,Đại học
127151,Đại học
67396,Đại học
103082,Dưới đại học
7458,Đại học
64140,Đại học
130323,Đại học
62401,Dưới đại học
104610,Dưới đại học
36631,Đại học
1033,Đại học
9502,Trên đại học
101040,Đại học
116927,Đại học
98306,
103469,Đại học
105837,Dưới đại học
121323,Trên đại học
109710,Đại học
941,Đại học
5013,Đại học
94056,Đại học
102538,Dưới đại học
67351,Đại học
99630,Đại học
116556,Đại học
104383,Đại học
108526,Dưới đại học
119858,Dưới đại học
99735,Đại học
126499,Đại học
105266,Đại học
110218,Dưới đại học
4279,Đại học
9489,Dưới đại học
105816,Trên đại học
111053,Đại học
55380,Đại học
67711,Đại học
67741,Đại học
110889,Dưới đại học
105005,Đại học
129641,Dưới đại học
101766,Dưới đại học
5582,Đại học
31025,Đại học
8119,Đại học
67502,Đại học
9780,Đại học
130670,Trên đại học
67115,Đại học
123505,Đại học
2943,Đại học
109574,Đại học
127160,
124738,Đại học
66601,Dưới đại học
99141,Đại học
41605,Dưới đại học
5905,Đại học
7403,Đại học
128719,Dưới đại học
4982,Đại học
54128,Đại học
101262,Dưới đại học
4024,Đại học
115341,Trên đại học
9073,Đại học
5677,Đại học
129936,Dưới đại học
124725,Dưới đại học
113039,Dưới đại học
4315,Trên đại học
127808,Đại học
113849,Dưới đại học
98575,Đại học
111858,Đại học
115884,Đại học
128816,Đại học
7303,Dưới đại học
5021,Đại học
131676,Đại học
131510,Trên đại học
103809,Đại học
92540,Đại học
123699,Đại học
99400,Đại học
67116,Đại học
107076,Đại học
106582,Đại học
103788,Trên đại học
3697,Đại học
6604,Đại học
7414,Dưới đại học
67514,Dưới đại học
65995,Đại học
112164,Đại học
67369,Đại học
102814,Đại học
54267,Dưới đại học
111661,Trên đại học
102709,Đại học
104945,Đại học
98949,Đại học
1862,Đại học
67616,Đại học
48180,Đại học
67736,Đại học
3857,Đại học
64073,Dưới đại học
102063,Đại học
124340,Đại học
93805,Dưới đại học
98768,Dưới đại học
83291,Đại học
67201,Dưới đại học
8924,Đại học
8139,Đại học
119681,Đại học
93281,Đại học
98773,Dưới đại học
113038,Đại học
103094,Đại học
103567,Dưới đại học
130276,Đại học
124027,Đại học
128440,Dưới đại học
99037,Đại học
114468,Đại học
66784,Đại học
115862,Trên đại học
4822,Đại học
9401,Đại học
5435,Đại học
67494,Đại học
119958,Đại học
703,Đại học
102984,Đại học
98729,Đại học
65948,Dưới đại học
4700,Đại học
2278,Đại học
2442,Đại học
102310,Đại học
65981,Dưới đại học
130095,Đại học
99963,Đại học
8976,Đại học
75729,Đại học
129944,Đại học
66256,
104866,Dưới đại học
122345,Dưới đại học
104715,Dưới đại học
54234,Đại học
128289,Đại học
99664,Đại học
54279,Đại học
98266,Đại học
123100,Đại học
121605,
3997,Dưới đại học
102328,Đại học
125825,Đại học
8806,Dưới đại học
111339,Trên đại học
109060,Dưới đại học
98608,Trên đại học
126331,Đại học
3916,Đại học
4691,Đại học
66651,Đại học
46212,Đại học
7780,Dưới đại học
66118,Đại học
121429,Đại học
121495,Đại học
51536,Dưới đại học
7463,Dưới đại học
103349,Đại học
55363,Đại học
74620,Đại học
110795,Đại học
99727,
111599,Đại học
101306,Đại học
65977,Đại học
9087,Đại học
53345,Đại học
120594,Đại học
64698,Đại học
53986,Đại học
9526,Đại học
47477,Đại học
3544,Đại học
121611,Đại học
9085,Đại học
103797,Dưới đại học
121073,Đại học
124777,Đại học
112538,Đại học
134535,Trên đại học
82081,Đại học
