ID,income
102328,10000000
125825,20000000
8806,9000000
111339,25000000
109060,10000
98608,30000000
126331,
3916,15000000
4691,
66651,20000000
46212,17000000
7780,8000000
66118,20000000
121429,
121495,20000000
51536,20000000
7463,10000000
103349,8000000
55363,50000000
74620,20000000
110795,20000000
99727,15000000
111599,
101306,
65977,14000000
9087,10000000
53345,10000000
120594,15000000
64698,10000000
53986,9000000
9526,4000000
47477,13000000
3544,10000000
121611,15000000
9085,80000000
103797,20000000
121073,15000000
124777,18000000
112538,
134535,100000000
82081,12000000
111808,300000000
66614,100000000
48356,
102375,10000000
129628,10000000
107376,10000000
9328,9000000
104316,10000000
106041,12000000
116993,20000000
66133,10000000
2540,600000
101533,30000000
1062,18000000
127999,15000000
102406,
128792,30000000
66640,8000000
106309,10000000
109529,13000000
62858,
80608,20000000
8087,
131763,30000000
131592,
106485,
109805,16000000
122198,25000000
4893,16000000
118628,100000000
126414,15000000
48460,20000000
131903,10000000
118826,
109229,7000000
112017,15000000
129605,
1560,8000000
65157,5000000
9064,3000000
119020,
103369,
100747,21000000
124560,30000000
129036,17000000
107760,
67411,10000000
67367,5000000
107747,17000000
103324,15000000
128632,30000000
124873,40000000
67753,15000000
104392,10000000
128161,8000000
99464,50000000
9093,
8508,
92925,12000000
99268,
131579,10000000
129092,20000000
54328,20000000
132933,15000000
82297,50000000
107711,8000000
114049,10000000
44788,10000000
4815,7000000
54181,15000000
107111,15000000
131385,100000000
98713,25000000
128932,20000000
102889,15000000
109214,10000000
117164,300000000
9005,400000
102461,8000000
117690,10000000
67631,6000000
112435,20000000
124905,30000000
117941,10000000
106864,10000000
129615,15000000
124872,
93487,9000000
107619,7500000
119303,10000000
49559,7500000
121364,7000000
111238,
131664,15000000
76859,12000000
103814,25000000
3069,
102927,8000000
5177,3000000
7096,30000000
117792,30000000
106560,7500000
67090,7000000
130461,240000000
13795,19000000
4336,15000000
125730,
122128,7000000
129180,15000000
113617,4000000
113206,9000000
9296,15000000
67756,14000000000
98594,7000000
52781,20000000
65793,4000000
54269,15000000
98679,14000000
102591,
82013,7000000
116802,11000000
8933,6000000
53865,10000000
66095,4000000
120881,12000000
67464,20000000
117544,12000000
116213,7000000
7833,3000000
6088,10000000
9402,8000000
5428,10000000
6318,500000
60285,20000000
9379,500000
122301,50000000
66714,500000
122638,8000000
113139,50000000
67174,15000000
113372,15000000
8597,
5637,15000000
2953,9000000
66837,15000000
111073,25000000
67473,6000000
123176,10000000
112916,20000000
113858,10000000
66356,20000000
2501,
107699,30000000
67004,
53899,5000000
4397,8000000
129250,8000000
104247,6000000
130733,15000000
107577,20000000
3102,25000000
55499,20000000
106416,
92848,6000000
4672,20000000
9487,15000000
119635,10000000
102622,4000000
4961,11000000
126215,20000000
112949,10000000
117357,10000000
103725,15000000
112592,20000000
107063,
3329,15000000
111839,
67176,10000000
98791,70000000
4418,6000000
4441,20000000
113194,20000000
65911,9000000
57745,15000000
67401,10000000
55652,
113650,
105807,10000000
2397,500000
105227,20000000
1899,5000000
66699,500000
67102,14000
107445,20000000
54020,10000000
4363,23000000
8587,10000000
93880,10000000
113077,16000000
8111,20000000
73147,15000000
101819,20000000
55384,20000000
126443,17000000
47943,15000000
116588,40000000
9074,10000000
111008,14000000
91983,18000000
53371,30000000
66122,8000000
103878,10000000
57719,7000000
81888,9000000
91790,8000000
66711,10000000
102650,12000000
8771,6000000
51751,5000000
67228,5000000
99873,40000000
99845,
1074,10000000
104039,20000000
834,15000000
104852,30000000
50979,12000000
58086,
2357,6000000
113586,
100012,22000000
9596,25000000000
117201,20
110583,100000000
129701,40000000
127352,20000000
2507,10000000
108999,15000000
4790,15000000
8082,7000000
102528,5000000
129507,
8503,900000
2699,20000000
40781,10000000
105817,30000000
99627,500000
82464,8000000
126370,5000000
82336,20000000
5672,5000000
44029,5000000
